Date,Time,Time since start (s),X (N.m),Y (N.m),Z (N.m)
04/06/2026,18:01:12,9685.2,1.453451E-06,0.0001215152,-2.444502E-05
04/06/2026,18:01:12,9685.4,1.452101E-06,0.0001215093,-2.44437E-05
04/06/2026,18:01:12,9685.6,1.450747E-06,0.0001215033,-2.444238E-05
04/06/2026,18:01:12,9685.8,1.449391E-06,0.0001214974,-2.444106E-05
04/06/2026,18:01:12,9686,1.448033E-06,0.0001214915,-2.443974E-05
04/06/2026,18:01:13,9686.2,1.446673E-06,0.0001214855,-2.443842E-05
04/06/2026,18:01:13,9686.4,1.445311E-06,0.0001214796,-2.44371E-05
04/06/2026,18:01:13,9686.6,1.443957E-06,0.0001214737,-2.443578E-05
04/06/2026,18:01:13,9686.8,1.442609E-06,0.0001214677,-2.443446E-05
04/06/2026,18:01:13,9687,1.44126E-06,0.0001214618,-2.443315E-05
04/06/2026,18:01:14,9687.2,1.439903E-06,0.0001214559,-2.443183E-05
04/06/2026,18:01:14,9687.4,1.43854E-06,0.0001214499,-2.443051E-05
04/06/2026,18:01:14,9687.6,1.437178E-06,0.000121444,-2.442919E-05
04/06/2026,18:01:14,9687.8,1.435817E-06,0.0001214381,-2.442788E-05
04/06/2026,18:01:14,9688,1.434451E-06,0.0001214322,-2.442656E-05
04/06/2026,18:01:15,9688.2,1.433074E-06,0.0001214262,-2.442524E-05
04/06/2026,18:01:15,9688.4,1.431681E-06,0.0001214203,-2.442391E-05
04/06/2026,18:01:15,9688.6,1.430283E-06,0.0001214143,-2.442258E-05
04/06/2026,18:01:15,9688.8,1.428881E-06,0.0001214084,-2.442126E-05
04/06/2026,18:01:15,9689,1.427483E-06,0.0001214024,-2.441993E-05
04/06/2026,18:01:16,9689.2,1.426086E-06,0.0001213965,-2.441861E-05
04/06/2026,18:01:16,9689.4,1.424694E-06,0.0001213906,-2.441729E-05
04/06/2026,18:01:16,9689.6,1.423316E-06,0.0001213847,-2.441597E-05
04/06/2026,18:01:16,9689.8,1.421948E-06,0.0001213788,-2.441466E-05
04/06/2026,18:01:16,9690,1.420588E-06,0.0001213729,-2.441335E-05
04/06/2026,18:01:17,9690.2,1.419226E-06,0.000121367,-2.441204E-05
04/06/2026,18:01:17,9690.4,1.417868E-06,0.0001213611,-2.441073E-05
